Date,DKNG_LogReturn,FLUT_LogReturn,MGM_LogReturn
2020-07-28,-0.013908048152152986,0.11944003686401299,0.029636526449689237
2020-07-29,0.0357382988953727,0.04531519621204249,0.05307644358536435
2020-07-30,-0.031128672673673047,-0.03785958245561432,0.02371643575729906
2020-07-31,-0.0415228987592557,-0.014100156475096796,-0.033611564013303424
2020-08-03,-0.012815832617437803,0.016529301951210506,0.014193588379532931
2020-08-04,0.0033328498292545306,-0.009884759232541973,0.024214235173994417
2020-08-05,-0.01554678871665255,0.006600684031352093,0.0
2020-08-06,0.03323575622074198,0.011447385840350967,0.09900047112497108
2020-08-07,0.012990989189522592,0.008097210232619303,0.03041044875550487
2020-08-10,-0.07553054508950388,-0.01298719552681119,0.12898878426071633
2020-08-11,0.013511605238330832,0.03468551945559369,-0.006952424988657036
2020-08-12,0.05169897609024103,-0.0025284078210623005,-0.017359196371342502
2020-08-13,0.06622271570267846,0.0372713947972316,0.009889460095239942
2020-08-14,-0.0611968909298319,-0.04362062247589041,0.02178507114168311
2020-08-17,0.02245320907434721,0.0063492276786587445,-0.0199124665644251
2020-08-18,0.07041435704209063,0.012578782206860185,-0.020317042636016882
2020-08-19,-0.02558655183838385,-0.07351197130255248,-0.002389576338129958
2020-08-20,0.001377579414864564,0.05458396141703359,-0.0033551022487805227
2020-08-21,-0.032743883663507486,0.012658396871923465,0.01571850295848288
2020-08-24,0.018602560692544602,0.002512525845320087,0.051127968262988245
2020-08-25,0.08687173824731974,0.011539227610330306,-0.008115697985194693
2020-08-26,-0.005133500951316399,0.0077220460939103185,-0.0045369491306626545
2020-08-27,0.005133500951316482,-0.009273636785329215,0.0366110455099135
2020-08-28,-0.07273041527635678,0.0396386531980801,0.045004345017254914
2020-08-31,-0.026787290300159524,-0.00905522982599995,-0.058688027096334174
2020-09-01,0.0434429820975837,-0.03213742523881441,0.011928577572267994
2020-09-02,0.07735212501029633,-0.01283475481509347,0.040874579325249495
2020-09-03,-0.04171005073936195,-0.05971921547189422,-0.02778539833541441
2020-09-04,-0.033748398754809734,-0.013468217050866593,0.019318197024461838
2020-09-08,0.0002701884021287686,-0.019856823845559497,-0.014992852018493642
2020-09-09,0.08714653828992862,0.023240921829799966,-0.0024633640650634473
2020-09-10,0.05211019195737329,0.017415082129669558,-0.01175210176889984
2020-09-11,-0.025715746368205807,0.017769449891079737,-0.004827670081927407
2020-09-14,0.15930586199388858,0.009349518835758956,0.014413814196186888
2020-09-15,-0.008468497492210555,0.041054618132946114,0.02906190153624878
2020-09-16,0.05684722172746833,-0.004507000183498799,-0.031232560748667773
2020-09-17,0.0399515747719275,0.015762978381956692,-0.021525179823523494
2020-09-18,0.04203381509932405,-0.025152718731795677,-0.022452660737587372
2020-09-21,-0.0730114143698798,-0.038629652972849725,-0.043152074659359975
2020-09-22,0.046484645596012515,-0.027133904116419708,0.024819782598768447
2020-09-23,-0.07345218353527061,0.015793451779988654,-0.011162997046859923
2020-09-24,0.008938400340462373,0.008230499136515444,-0.008926482506197552
2020-09-25,0.05051187387845999,0.07574597415796018,0.04204827810279924
2020-09-28,0.06724918509829757,-0.01794115794402948,0.023698818337803764
